"Date","Easting","Northing","Elevation","Longitude","Latitude","VBat"
2019-07-12,2640590.33952936,1113600.9047818,2852.1056,7.9642291,46.17265927,13.65
2019-07-13,2640590.33720583,1113600.90511633,2852.10805,7.96422907,46.17265928,14.1
2019-07-14,2640590.33538807,1113600.90098364,2852.1035,7.96422904,46.17265924,14.3
2019-07-15,2640590.33486682,1113600.89698151,2852.1003,7.96422903,46.1726592,14.1
2019-07-16,2640590.33440717,1113600.89772683,2852.1046,7.96422903,46.17265921,14
2019-07-17,2640590.33264357,1113600.89641044,2852.1066,7.96422901,46.1726592,14.1
2019-07-18,2640590.33103518,1113600.89439452,2852.1042,7.96422899,46.17265918,14
2019-07-19,2640590.3304181,1113600.89349539,2852.1063,7.96422898,46.17265917,14
2019-07-20,2640590.32919733,1113600.89247373,2852.104,7.96422896,46.17265916,14
2019-07-21,2640590.32897717,1113600.89027062,2852.1078,7.96422896,46.17265914,13.9
2019-07-22,2640590.32565079,1113600.88947284,2852.10695,7.96422891,46.17265914,13.9
2019-07-23,2640590.32408585,1113600.88728551,2852.1048,7.96422889,46.17265912,13.8
2019-07-24,2640590.32297088,1113600.88723045,2852.1027,7.96422888,46.17265912,13.8
2019-07-27,2640590.32157631,1113600.88598698,2852.0989,7.96422886,46.1726591,13.5
2019-07-28,2640590.31957805,1113600.88586547,2852.0986,7.96422884,46.1726591,13.3
2019-07-29,2640590.31866024,1113600.8827467,2852.0993,7.96422882,46.17265907,13.4
2019-07-30,2640590.3201432,1113600.8818667,2852.0989,7.96422884,46.17265907,13.4
2019-07-31,2640590.31688549,1113600.88418071,2852.0936,7.9642288,46.17265909,13.4
2019-08-07,2640590.31259598,1113600.85802917,2852.0858,7.96422874,46.17265885,12.9
2019-08-08,2640590.31142975,1113600.85668332,2852.0863,7.96422873,46.17265884,13
2019-08-09,2640590.31050673,1113600.85367985,2852.0808,7.96422872,46.17265881,13
2019-08-10,2640590.3098433,1113600.85166315,2852.0794,7.96422871,46.1726588,13
2019-08-11,2640590.3083218,1113600.84876876,2852.0749,7.96422869,46.17265877,13
2019-08-13,2640590.30909854,1113600.84777786,2852.0757,7.9642287,46.17265876,12.9
2019-08-14,2640590.3075147,1113600.84120992,2852.0757,7.96422868,46.1726587,12.9
2019-08-15,2640590.30451025,1113600.8392943,2852.0729,7.96422864,46.17265869,12.9
2019-08-16,2640590.30462318,1113600.836137,2852.0705,7.96422864,46.17265866,12.9
2019-08-17,2640590.29387971,1113600.82510782,2852.0719,7.9642285,46.17265856,13
2019-08-18,2640590.30060435,1113600.83272378,2852.0603,7.96422859,46.17265863,13
2019-08-19,2640590.29855208,1113600.82679698,2852.0553,7.96422856,46.17265857,12.9
2019-08-20,2640590.29675426,1113600.8213324,2852.0533,7.96422854,46.17265852,12.9
2019-08-21,2640590.29321516,1113600.81988005,2852.0516,7.96422849,46.17265851,13
2019-08-24,2640590.29393328,1113600.8207784,2852.0458,7.9642285,46.17265852,12.9
2019-08-25,2640590.29261668,1113600.81842872,2852.0412,7.96422848,46.1726585,12.9
2019-08-26,2640590.29205711,1113600.82344038,2852.03525,7.96422847,46.17265854,12.9
2019-08-27,2640590.29032588,1113600.82308001,2852.031,7.96422845,46.17265854,12.9
2019-08-28,2640590.29080696,1113600.8225216,2852.0298,7.96422846,46.17265853,12.9
2019-08-29,2640590.28727307,1113600.81927461,2852.0272,7.96422841,46.17265851,12.9
2019-08-30,2640590.2852897,1113600.81825915,2852.0249,7.96422839,46.1726585,12.9
2019-08-31,2640590.2841655,1113600.81359805,2852.0256,7.96422837,46.17265845,12.9
2019-09-01,2640590.28122079,1113600.81489427,2852.01885,7.96422833,46.17265847,12.9
2019-09-02,2640590.27753431,1113600.80998966,2852.0196,7.96422828,46.17265842,12.9
2019-09-03,2640590.27621622,1113600.81242905,2852.0098,7.96422827,46.17265845,12.9
2019-09-04,2640590.27264365,1113600.81234556,2852.0035,7.96422822,46.17265844,12.9
2019-09-05,2640590.27534261,1113600.80808644,2852.00715,7.96422826,46.17265841,12.9
2019-09-06,2640590.27520831,1113600.79880457,2852.0169,7.96422825,46.17265832,12.9
