"Date","Easting","Northing","Elevation","Longitude","Latitude"
2020-04-07,2590199.25730314,1169798.22220537,1322.56805,7.31054176,46.67933406
2020-04-08,2590199.25501768,1169798.22487752,1322.5592,7.31054173,46.67933409
2020-04-09,2590199.25539054,1169798.22520838,1322.5653,7.31054174,46.67933409
2020-04-10,2590199.25106821,1169798.22254668,1322.5595,7.31054168,46.67933406
2020-04-11,2590199.24728731,1169798.22622071,1322.5613,7.31054163,46.6793341
2020-04-12,2590199.24729353,1169798.22955735,1322.5621,7.31054163,46.67933413
2020-04-13,2590199.24437952,1169798.22456443,1322.5579,7.3105416,46.67933408
2020-04-14,2590199.24428855,1169798.21933192,1322.5576,7.31054159,46.67933403
2020-04-15,2590199.23859414,1169798.2200669,1322.5613,7.31054152,46.67933404
2020-04-16,2590199.23522637,1169798.22034633,1322.5616,7.31054148,46.67933404
2020-04-17,2590199.23151987,1169798.22413166,1322.5553,7.31054143,46.67933408
2020-04-18,2590199.23466388,1169798.22690912,1322.5565,7.31054147,46.6793341
2020-04-19,2590199.23247846,1169798.22430099,1322.566,7.31054144,46.67933408
2020-04-20,2590199.22792165,1169798.22136584,1322.56475,7.31054138,46.67933405
2020-04-21,2590199.22654326,1169798.22103127,1322.563,7.31054136,46.67933405
2020-04-22,2590199.22975005,1169798.21747105,1322.5676,7.3105414,46.67933402
2020-04-24,2590199.22714446,1169798.21513793,1322.55645,7.31054137,46.679334
2020-04-25,2590199.42612923,1169798.80577398,1321.583,7.31054396,46.67933931
2020-04-26,2590199.21078415,1169798.22061091,1322.537,7.31054116,46.67933405
2020-04-27,2590199.20917284,1169798.21917078,1322.5491,7.31054114,46.67933403
2020-04-28,2590199.19907711,1169798.22507873,1322.5445,7.310541,46.67933409
2020-04-29,2590199.21477133,1169798.22916305,1322.5471,7.31054121,46.67933412
2020-04-30,2590199.19766724,1169798.22085767,1322.5724,7.31054098,46.67933405
2020-05-01,2590199.20857722,1169798.22807002,1322.5512,7.31054113,46.67933411
2020-05-02,2590199.19158423,1169798.22309221,1322.5724,7.3105409,46.67933407
2020-05-03,2590199.20298586,1169798.22340443,1322.5548,7.31054105,46.67933407
2020-05-04,2590199.21094193,1169798.226732,1322.5561,7.31054116,46.6793341
2020-05-05,2590199.19309836,1169798.21541712,1322.56875,7.31054092,46.679334
2020-05-06,2590199.20282497,1169798.22140394,1322.5584,7.31054105,46.67933405
2020-05-07,2590199.20633497,1169798.2160634,1322.5607,7.3105411,46.67933401
2020-07-02,2590199.12631636,1169798.19768646,1322.5447,7.31054005,46.67933384
2020-07-03,2590200.47275687,1169796.66103234,1324.08225,7.31055768,46.67932004
2020-07-05,2590199.12305878,1169798.1959671,1322.5435,7.31054001,46.67933382
2020-07-06,2590199.12937946,1169798.20140349,1322.5275,7.31054009,46.67933387
2020-07-07,2590199.12926789,1169798.20328822,1322.5337,7.31054009,46.67933389
2020-07-08,2590199.12834848,1169798.19706755,1322.5454,7.31054008,46.67933383
2020-07-09,2590199.12413231,1169798.19685554,1322.5384,7.31054002,46.67933383
2020-07-10,2590199.1049302,1169798.19866506,1322.5373,7.31053977,46.67933385
2020-07-11,2590199.10933636,1169798.19971567,1322.50175,7.31053983,46.67933386
2020-07-12,2590199.11106445,1169798.20877593,1322.5359,7.31053985,46.67933394
2020-07-13,2590199.1101487,1169798.20899436,1322.5301,7.31053984,46.67933394
2020-07-14,2590199.10776294,1169798.20160802,1322.52745,7.31053981,46.67933387
2020-07-15,2590199.10462873,1169798.2016658,1322.5339,7.31053977,46.67933387
2020-07-16,2590199.10347676,1169798.1992795,1322.5217,7.31053975,46.67933385
2020-07-17,2590199.10128346,1169798.20367284,1322.5174,7.31053972,46.67933389
2020-07-18,2590199.09566869,1169798.19801141,1322.5285,7.31053965,46.67933384
2020-07-19,2590199.09444853,1169798.20112747,1322.5227,7.31053964,46.67933387
2020-07-20,2590199.09523754,1169798.1903435,1322.51095,7.31053965,46.67933377
2020-07-21,2590199.08119709,1169798.18747514,1322.5079,7.31053946,46.67933375
2020-07-22,2590199.06912973,1169798.20227629,1322.5465,7.3105393,46.67933388
2020-07-23,2590199.07906832,1169798.19748347,1322.5116,7.31053943,46.67933384
