"Date","Easting","Northing","Elevation","Longitude","Latitude","VBat"
2016-10-20,2590358.16795593,1169876.41855519,1339.6518,7.31261706,46.68003981,13.3
2016-10-21,2590358.1695675,1169876.42122084,1339.6538,7.31261708,46.68003983,12.9
2016-10-22,2590358.16642302,1169876.41722293,1339.6557,7.31261704,46.6800398,13.9
2016-10-23,2590358.16558519,1169876.42028119,1339.651,7.31261703,46.68003982,12.9
2016-10-24,2590358.16603741,1169876.41311212,1339.6526,7.31261704,46.68003976,14.3
2016-10-25,2590358.16329043,1169876.41989154,1339.6596,7.312617,46.68003982,12.5
2016-10-26,2590358.16267996,1169876.41989737,1339.6457,7.31261699,46.68003982,12.7
2016-10-27,2590358.1612972,1169876.4184527,1339.6562,7.31261698,46.68003981,14.2
2016-10-28,2590358.16014847,1169876.41679003,1339.6526,7.31261696,46.68003979,13.6
2016-10-29,2590358.15983847,1169876.41512229,1339.6549,7.31261696,46.68003978,13.6
2016-10-30,2590358.16022588,1169876.4167917,1339.6598,7.31261696,46.68003979,13.7
2016-10-31,2590309.22607782,1169916.63955365,1351.3494,7.31197653,46.6804009,13.7
2016-11-01,2590358.1592325,1169876.4171239,1339.6581,7.31261695,46.6800398,13.6
2016-11-02,2590358.1561658,1169876.41467973,1339.6572,7.31261691,46.68003977,14.5
2016-11-03,2590358.16068584,1169876.41745604,1339.6522,7.31261697,46.6800398,14.5
2016-11-04,2590358.15670506,1169876.415685,1339.6554,7.31261692,46.68003978,13.8
2016-11-05,2590358.15195882,1169876.41424609,1339.652,7.31261685,46.68003977,13.1
2016-11-06,2590358.15153999,1169876.41524689,1339.6572,7.31261685,46.68003978,12.7
2016-11-07,2590358.14660265,1169876.41025345,1339.6598,7.31261678,46.68003973,13.3
2016-11-08,2590358.15023653,1169876.41258701,1339.6498,7.31261683,46.68003976,13.1
2016-11-09,2590358.14866834,1169876.41419453,1339.6519,7.31261681,46.68003977,13.3
2016-11-10,2590358.14743517,1169876.40824954,1339.6512,7.3126168,46.68003972,13.2
2016-11-11,2590358.14499423,1169876.4135895,1339.6586,7.31261676,46.68003976,13
2016-11-12,2590358.14744192,1169876.41408788,1339.64835,7.3126168,46.68003977,14.5
2016-11-13,2590358.14140365,1169876.41637485,1339.6645,7.31261672,46.68003979,14.7
2016-11-14,2590358.13872309,1169876.4152643,1339.6508,7.31261668,46.68003978,14.9
2016-11-15,2590358.13642554,1169876.41287974,1339.65695,7.31261665,46.68003976,14.6
2016-11-16,2590358.13603461,1169876.40759753,1339.6631,7.31261665,46.68003971,14.8
2016-11-17,2590358.13664994,1169876.41049201,1339.6555,7.31261665,46.68003974,14.4
2016-11-18,2590358.13924498,1169876.406151,1339.648,7.31261669,46.6800397,12.8
2016-11-19,2590358.13611337,1169876.40815708,1339.6513,7.31261665,46.68003971,14.9
2016-11-20,2590358.13434761,1169876.40593647,1339.646,7.31261662,46.68003969,14.4
2016-11-21,2590358.13334812,1169876.40416276,1339.6475,7.31261661,46.68003968,13.1
2016-11-22,2590358.13093984,1169876.40355302,1339.6512,7.31261658,46.68003967,13.2
2016-11-23,2590358.12676536,1169876.40216734,1339.6502,7.31261653,46.68003966,12.7
2016-11-24,2590358.12447185,1169876.40206082,1339.64925,7.3126165,46.68003966,12.8
2016-11-25,2590358.12224946,1169876.40050888,1339.647,7.31261647,46.68003965,12.1
2016-11-26,2590358.11945494,1169876.40045689,1339.6465,7.31261643,46.68003965,12.6
2016-11-27,2590358.11738692,1169876.39768169,1339.64455,7.3126164,46.68003962,13.5
2016-11-28,2590358.11605195,1169876.39985124,1339.64595,7.31261639,46.68003964,14.8
2016-11-29,2590358.11283996,1169876.39975042,1339.6451,7.31261634,46.68003964,14.4
2016-11-30,2590358.11076987,1169876.39952697,1339.6446,7.31261632,46.68003964,14.6
2016-12-01,2590358.10747975,1169876.39786486,1339.64775,7.31261627,46.68003962,14.5
2016-12-02,2590358.10304783,1169876.3995375,1339.6475,7.31261622,46.68003964,14.3
2016-12-03,2590358.10166425,1169876.39709543,1339.64695,7.3126162,46.68003961,14.4
2016-12-04,2590358.09936823,1169876.39676651,1339.6527,7.31261617,46.68003961,14.4
2016-12-05,2590357.49574887,1169876.37862297,1339.2434,7.31260828,46.68003944,14.5
2016-12-06,2590358.09485629,1169876.3983278,1339.6516,7.31261611,46.68003963,14.4
2016-12-07,2590358.09302094,1169876.39777711,1339.64615,7.31261608,46.68003962,14.5
2016-12-09,2590358.09102331,1169876.39399584,1339.64575,7.31261606,46.68003959,14.1
2016-12-10,2590358.08781141,1169876.3950052,1339.646,7.31261602,46.6800396,14.1
2016-12-11,2590358.0850592,1169876.39423409,1339.6491,7.31261598,46.68003959,13
2016-12-12,2590358.08471166,1169876.39401095,1339.6577,7.31261598,46.68003959,14
2016-12-13,2590358.08513013,1169876.39156089,1339.6445,7.31261598,46.68003957,13.1
2016-12-14,2590358.08160094,1169876.3917919,1339.6522,7.31261594,46.68003957,14.1
2016-12-15,2590358.0803955,1169876.39323614,1339.648,7.31261592,46.68003958,14.1
2016-12-16,2590358.08153379,1169876.39307322,1339.6396,7.31261593,46.68003958,14.1
2016-12-17,2590358.07786562,1169876.39446745,1339.6421,7.31261589,46.68003959,14
2016-12-18,2590358.07648412,1169876.39403171,1339.6411,7.31261587,46.68003959,13.9
2016-12-19,2590357.85034221,1169876.35953869,1339.17735,7.31261291,46.68003927,12.9
2016-12-20,2590358.07189369,1169876.39275354,1339.6468,7.31261581,46.68003958,14
2016-12-22,2590358.06829744,1169876.39125843,1339.64585,7.31261576,46.68003956,12.8
2016-12-23,2590358.06703601,1169876.39259497,1339.6411,7.31261574,46.68003957,12.8
2016-12-24,2590358.06086362,1169876.38882472,1339.6371,7.31261566,46.68003954,12.8
2016-12-25,2590358.06393393,1169876.39215798,1339.6388,7.3126157,46.68003957,12.8
2016-12-26,2590358.06325136,1169876.39532598,1339.6449,7.31261569,46.6800396,12.9
2016-12-27,2590358.06141575,1169876.3938266,1339.639,7.31261567,46.68003959,12.9
2016-12-28,2590358.06125652,1169876.39215984,1339.646,7.31261567,46.68003957,12.9
2016-12-29,2590358.05980328,1169876.39227447,1339.6428,7.31261565,46.68003957,12.9
2016-12-30,2590358.05827199,1169876.3901063,1339.6417,7.31261563,46.68003955,12.9
2016-12-31,2590358.05739636,1169876.39355494,1339.63855,7.31261562,46.68003958,12.9
2017-01-01,2590358.05628849,1169876.39216672,1339.6469,7.3126156,46.68003957,12.9
2017-01-02,2590358.05567272,1169876.39339166,1339.64165,7.3126156,46.68003958,12.9
2017-01-03,2590358.05253247,1169876.38972793,1339.6442,7.31261555,46.68003955,12.9
2017-01-04,2590360.28007022,1169875.85518777,1340.85475,7.31264468,46.68003477,12.5
2017-01-05,2590358.05092089,1169876.38772953,1339.6402,7.31261553,46.68003953,12.4
2017-01-06,2590358.04762807,1169876.38573448,1339.6431,7.31261549,46.68003951,13
2017-01-07,2590358.04801855,1169876.38817891,1339.64275,7.3126155,46.68003953,12.9
2017-01-08,2590363.84985999,1169867.53835224,1363.4635,7.31269151,46.67996001,12.7
2017-01-09,2590358.04219873,1169876.3871882,1339.645,7.31261542,46.68003952,13
2017-01-10,2590358.04051803,1169876.38429737,1339.645,7.3126154,46.6800395,12.7
2017-01-12,2590358.03975292,1169876.38830346,1339.6384,7.31261539,46.68003953,12.2
2017-01-13,2590358.03997975,1169876.38752343,1339.6418,7.31261539,46.68003953,12.1
2017-01-14,2590358.03860275,1169876.38641387,1339.6436,7.31261537,46.68003952,11.9
2017-01-15,2590358.0363835,1169876.38747429,1339.64425,7.31261534,46.68003953,12
2017-01-16,2590358.03366793,1169876.38753669,1339.64805,7.31261531,46.68003953,12.3
2017-01-17,2590358.03363472,1169876.38342192,1339.64055,7.31261531,46.68003949,12.3
2017-01-18,2590358.0315946,1169876.38464419,1339.63845,7.31261528,46.6800395,12.7
2017-01-19,2590358.03163789,1169876.38587068,1339.6398,7.31261528,46.68003951,12.7
2017-01-20,2590358.0300247,1169876.38176043,1339.6412,7.31261526,46.68003948,12.8
