"Date","Easting","Northing","Elevation","Longitude","Latitude","VBat"
2019-08-28,2640698.01211034,1112131.98205779,2834.3972,7.96549565,46.15943928,13.6
2019-08-29,2640698.01503245,1112131.97857558,2834.4106,7.96549569,46.15943925,13.8
2019-08-30,2640698.00864953,1112131.97915873,2834.3978,7.96549561,46.15943926,13.6
2019-09-01,2640698.00799144,1112131.98112703,2834.4048,7.9654956,46.15943927,13.2
2019-09-02,2640698.00846163,1112131.98503614,2834.4106,7.96549561,46.15943931,13.3
2019-09-03,2640698.00749365,1112131.98312952,2834.4095,7.96549559,46.15943929,13.4
2019-09-04,2640698.00733916,1112131.98325053,2834.4051,7.96549559,46.15943929,13.3
2019-09-05,2640698.00308835,1112131.98666395,2834.4149,7.96549554,46.15943932,13
2019-09-06,2640698.00277564,1112131.98333008,2834.41935,7.96549553,46.15943929,13.2
2019-09-07,2640698.00317194,1112131.98443757,2834.4064,7.96549554,46.1594393,13.2
2019-09-08,2640698.0014617,1112131.98365735,2834.4023,7.96549552,46.1594393,13.4
2019-09-09,2640697.99915026,1112131.98264859,2834.4025,7.96549549,46.15943929,13.4
2019-09-10,2640697.99866963,1112131.98553962,2834.4004,7.96549548,46.15943931,13.3
2019-09-11,2640697.99790909,1112131.98164398,2834.4032,7.96549547,46.15943928,13.3
2019-09-12,2640697.99567416,1112131.98083085,2834.3956,7.96549544,46.15943927,13.4
2019-09-13,2640697.99457593,1112131.97707656,2834.3968,7.96549543,46.15943924,13.3
2019-09-14,2640697.9931825,1112131.97891439,2834.3957,7.96549541,46.15943925,13.2
2019-09-15,2640697.99114867,1112131.97633872,2834.39685,7.96549538,46.15943923,13.3
2019-09-16,2640697.99129608,1112131.97623195,2834.3975,7.96549538,46.15943923,13.3
2019-09-17,2640697.99065493,1112131.97514934,2834.398,7.96549538,46.15943922,13.3
2019-09-18,2640697.99033587,1112131.97468655,2834.3986,7.96549537,46.15943922,13.3
2019-09-19,2640697.98972424,1112131.97457591,2834.3973,7.96549536,46.15943921,13.3
2019-09-21,2640697.9845745,1112131.98253873,2834.394,7.9654953,46.15943929,13.1
2019-09-22,2640697.98385467,1112131.9839262,2834.39825,7.96549529,46.1594393,13.1
2019-09-23,2640697.98139098,1112131.98386077,2834.3988,7.96549526,46.1594393,13.1
2019-09-24,2640697.97977588,1112131.98345149,2834.4008,7.96549523,46.1594393,13.1
2019-09-25,2640697.98023004,1112131.98462855,2834.3963,7.96549524,46.15943931,13.1
2019-09-26,2640697.97952289,1112131.98506336,2834.39885,7.96549523,46.15943931,13.1
2019-10-12,2640697.96374905,1112131.98273411,2834.3882,7.96549503,46.15943929,13.3
2019-10-13,2640697.96395336,1112131.98152038,2834.3871,7.96549503,46.15943928,13.3
2019-10-14,2640697.96245913,1112131.97794968,2834.3967,7.96549501,46.15943925,13.3
2019-10-15,2640697.96064666,1112131.97979956,2834.3991,7.96549499,46.15943926,13.2
2019-10-16,2640697.95845691,1112131.98175425,2834.40255,7.96549496,46.15943928,13.3
2019-10-17,2640697.95685859,1112131.97903385,2834.3939,7.96549494,46.15943926,13.4
2019-10-18,2640697.95705938,1112131.97932614,2834.39485,7.96549494,46.15943926,13.6
