"Date","Easting","Northing","Elevation","Longitude","Latitude","VBat"
2019-07-12,2641003.168192,1112101.98831554,2917.2589,7.96944326,46.15915099,13.3
2019-07-13,2641003.16722837,1112101.98463984,2917.2694,7.96944325,46.15915096,13.6
2019-07-15,2641003.16591366,1112101.98251155,2917.276,7.96944323,46.15915094,13.8
2019-07-16,2641003.16261946,1112101.98249328,2917.2757,7.96944319,46.15915094,13.7
2019-07-17,2641003.16077831,1112101.97902972,2917.27835,7.96944316,46.15915091,13.6
2019-07-18,2641003.1557958,1112101.98333716,2917.2677,7.9694431,46.15915095,14.1
2019-07-19,2641003.15497688,1112101.98044482,2917.2642,7.96944309,46.15915092,13.8
2019-07-20,2641003.15510057,1112101.98277873,2917.2701,7.96944309,46.15915094,13.4
2019-07-21,2641003.15387739,1112101.98143172,2917.2683,7.96944307,46.15915093,13.8
2019-07-22,2641003.14971431,1112101.97962334,2917.26405,7.96944302,46.15915091,13.8
2019-07-23,2641003.14817989,1112101.97929142,2917.2671,7.969443,46.15915091,13.7
2019-07-24,2641003.14571775,1112101.98193846,2917.2661,7.96944297,46.15915094,14
2019-07-25,2641003.14299682,1112101.9802637,2917.2601,7.96944293,46.15915092,13.3
2019-07-26,2641003.14406626,1112101.98293997,2917.26,7.96944295,46.15915095,14.1
2019-07-27,2641003.1392713,1112101.98267118,2917.2517,7.96944288,46.15915094,14
2019-07-28,2641003.13858397,1112101.9818758,2917.2509,7.96944288,46.15915094,13.5
2019-07-29,2641003.13394764,1112101.98196739,2917.24365,7.96944281,46.15915094,13.9
2019-07-30,2641003.13194448,1112101.97995104,2917.256,7.96944279,46.15915092,13.9
2019-07-31,2641003.13003058,1112101.97860403,2917.2475,7.96944276,46.15915091,13.9
2019-08-01,2641003.12780469,1112101.9774736,2917.2469,7.96944274,46.1591509,13.8
2019-08-02,2641003.12755867,1112101.97736035,2917.2379,7.96944273,46.1591509,14.3
2019-08-04,2641003.12818755,1112101.97770297,2917.2491,7.96944274,46.1591509,14
2019-08-05,2641003.12571151,1112101.97912956,2917.2423,7.96944271,46.15915091,13.8
2019-08-06,2641003.12431204,1112101.97922924,2917.2387,7.96944269,46.15915091,13.9
2019-08-07,2641003.12384593,1112101.98011803,2917.2361,7.96944268,46.15915092,13.6
2019-08-08,2641003.11890399,1112101.97420131,2917.2459,7.96944262,46.15915087,13.9
2019-08-10,2641003.1148404,1112101.97036354,2917.2353,7.96944257,46.15915083,13.7
2019-08-11,2641003.1120329,1112101.96536719,2917.2413,7.96944253,46.15915079,13.4
2019-08-12,2641003.11277795,1112101.97181806,2917.2324,7.96944254,46.15915085,13.4
2019-08-13,2641003.10779633,1112101.96566492,2917.2386,7.96944248,46.15915079,14
2019-08-14,2641003.1085141,1112101.96113098,2917.2461,7.96944248,46.15915075,13.6
2019-08-15,2641003.10710607,1112101.95723739,2917.2442,7.96944247,46.15915072,13.5
2019-08-16,2641003.10384471,1112101.96630501,2917.2489,7.96944242,46.1591508,13.5
2019-08-17,2641003.10084785,1112101.96530454,2917.2304,7.96944238,46.15915079,13.5
2019-08-18,2641003.09788992,1112101.96683524,2917.2372,7.96944235,46.1591508,13.5
2019-08-19,2641003.09448203,1112101.96780986,2917.2241,7.9694423,46.15915081,13.7
2019-08-20,2641003.09770514,1112101.96416837,2917.2354,7.96944234,46.15915078,13
2019-08-21,2641003.0886353,1112101.96520795,2917.2213,7.96944223,46.15915079,13.4
2019-08-22,2641003.08963801,1112101.96443346,2917.2151,7.96944224,46.15915078,13.7
2019-08-23,2641003.08215068,1112101.96504353,2917.2185,7.96944214,46.15915079,13.6
